Year,Moments
1930,"On November 6, 1928, Herbert Hoover won the U.S. presidential election."
1930,"In November 1928, the Boston Garden opened in Boston."
1930,"In March 1929, the San Francisco Bay Toll Bridge opened; it was the longest bridge in the world at the time."
1930,"In July 1929, Pope Pius XI emerged from the Vatican and entered St. Peter’s Square after the ratification of the Lateran Treaty, which established Vatican City as a sovereign state. The pope’s appearance ended nearly 60 years of papal self-imprisonment within the Vatican."
1931,"Best Picture: All Quiet on the Western Front"
1931,"All Quiet on the Western Front also won for Directing (Lewis Milestone)"
1931,"Voting rules changed drastically; the nominations and winners were voted on by the entire Academy membership, not just by a board of judges."
1931,"Academy members, for the first time, were charged a $10 fee to attend the banquet and the event sold out."
1931,"Thomas A. Edison and George Eastman were both given honorary Academy memberships for their pioneering in the film medium. Although Edison did not attend the event, he provided a film that was shown after the banquet."
1931,"Eight awards were presented."
1931,"George Arliss won Best Actor for Disraeli and it was the first time a performer was honored by the Academy for recreating a role on screen which he had previously performed on stage."
1931,"On October 29, 1929, the stock market crashed, marking the beginning of the Great Depression."
1931,"In November 1929, the Museum of Modern Art opened to the public in New York City."
1931,"In January 1930, the Mickey Mouse comic strip made its first appearance."
1931,"On April 18, 1930, the BBC Radio Service from London, somewhat infamously, reported on this day that There is no news."
1931,"In April 1930, Warner Bros. released the cartoon Sinkin’ in the Bathtub, the inaugural entry in its long-running Looney Tunes series, which was overseen by animation greats such as Hugh Harman, Rudolf Ising and Tex Avery during its four decades of production."
1932,"Best Picture: Cimarron"
1932,"Cimarron also won Academy Awards for Art Direction (Max Rée) and Writing – Adaptation (Howard Estabrook)"
1932,"The Scientific or Technical Awards were presented for the first time."
1932,"President Herbert Hoover sent Vice President Charles Curtis to attend the ceremony."
1932,"At the ceremony, nine-year-old Jackie Cooper, nominated for Best Actor in Skippy, fell asleep on the shoulder of Best Actress nominee Marie Dressler. When Dressler was announced as the winner, Cooper had to be eased onto his mother’s lap."
1932,"In August 1930, Betty Boop premiered in the animated film Dizzy Dishes."
1932,"On December 2, 1930, President Herbert Hoover gave his State of the Union Address, in which he asked for at least $100 million to fund a public works program to help generate jobs and stimulate the economy."
1932,"In February 1931, the original Dracula, starring Bela Lugosi, was released."
1932,"In March 1931, The Star-Spangled Banner was adopted as the national anthem of the United States."
1932,"In March 1931, Nevada legalized gambling."
1932,"On May 1,1931, New York City’s Empire State Building opened to the public."
1933,"Best Picture: Grand Hotel"
1933,"Actor Conrad Nagel was the master of ceremonies."
1933,"Wallace Beery (The Champ) and Fredric March (Dr. Jekyll and Mr. Hyde) tied for Best Actor."
1933,"They came within one vote of each other so, according to Academy rules at the time, they shared the recognition."
1933,"In October 1931, Dick Tracy, a comic strip detective character created by cartoonist Chester Gould, made his debut appearance in the Detroit Mirror newspaper."
1933,"In December 1931, Jane Addams became the first American woman to be awarded the Nobel Peace Prize for her work with Hull House and the Women’s International League for Peace and Freedom."
1933,"In December 1931, Hattie Caraway became the first woman to serve in the United States Senate when she was appointed to fill her late husband’s seat. She was confirmed in a special election in January 1932."
1933,"In February 1932, Aldous Huxley’s Brave New World was published."
1933,"On May 2, 1932, comedian Jack Benny’s radio show aired for the first time."
1933,"On July 8, 1932, the Dow Jones reached its lowest level of the Great Depression, bottoming out at 41.22."
1933,"Special Award-To Walt Disney for the creation of Mickey Mouse."
1934,"Best Picture: Cavalcade"
1934,"Cavalcade also won Academy Awards for Art Direction (William S. Darling) and Directing (Frank Lloyd)"
1934,"In 1933, the Academy changed the eligibility year to match the calendar year (January-December). For the 6th Awards, films from August 1932 through December 1933 were considered."
1934,"Humorist Will Rogers was the host."
1934,"Thirteen award categories were honored, including a new one for assistant directors (which included 18 nominees and seven winners)."
1934,"On March 16, 1934, the first confirmed newspaper reference to the Academy Award as an Oscar appeared when Sidney Skolsky used the word in his gossip column."
1934,"Second and third place runners-up in all categories were announced."
1934,"In September 1932, Mahatma Gandhi began a hunger strike in a Poona prison."
1934,"On October 1, 1932, in the fifth inning of game three of the 1932 World Series, Babe Ruth made his famous called shot, when he pointed in the direction of center field and hit a home run."
1934,"On December 27, 1932, Radio City Music Hall opened in New York City."
1934,"On January 30, 1933, Adolf Hitler was appointed chancellor of Germany."
1934,"On February 17, 1933 Newsweek magazine was published for the first time."
1934,"On March 2, 1933, the original “King Kong,” starring Fay Wray, premiered at Radio City Music Hall and the Roxy Theatre in New York City."
1934,"On March 12, 1933, President Franklin Delano Roosevelt addressed the nation in the first of his “Fireside Chats.”"
1934,"On April 7, 1933, beer was legalized in the United States, eight months before the full repeal of Prohibition went into effect."
1934,"In May 1933, the first modern alleged sighting of the Loch Ness Monster occurred."
1934,"On June 6, 1933, the first drive-in theater opened in Camden, New Jersey."
1935,"Best Picture: It Happened One Night"
1935,"It Happened One Night also won Academy Awards for Best Actor (Clark Gable), Best Actress (Claudette Colbert), Directing (Frank Capra), and Writing – Adaptation (Robert Riskin)"
1935,"The Academy was bombarded with protests when the nominees were announced; it was the first time there had been such a negative reaction to the selections."
1935,"People were upset that Bette Davis and Myrna Loy had not been chosen as candidates for Best Actress."
1935,"On January 16, 1935, the Academy announced that voters could disregard the printed ballot and write in any name."
1935,"Music was honored for the first time in two categories: Scoring and Song."
1935,"An award for film editing was also inaugurated."
1935,"On January 7, 1934, the first Flash Gordon comic strip was published."
1935,"In May 1934, the first Three Stooges short, Woman Haters, was released."
1935,"On May 23, 1934, a team of police officers, led by former Texas Ranger Frank Hamer, ambushed bank robbers Bonnie Parker and Clyde Barrow near Gibsland, Louisiana, killing them both."
1935,"On May 28, 1934, the Dionne Quintuplets were born in Ontario, Canada and became the first known surviving quintuplets."
1935,"On July 22, 1934, Public Enemy No. 1 John Dillinger was mortally wounded by FBI agents outside Chicago’s Biograph Theater."
1935,"On August 2, 1934, Adolf Hitler proclaimed himself Führer of Germany, thereby becoming head of state as well as chancellor."
1935,"In August 1934, the first federal prisoners arrived on Alcatraz, which previously had been a military prison."
1935,"On December 25, 1934, actor Lionel Barrymore began what would become an annual tradition of the Golden Age of Radio – playing the role of Ebenezer Scrooge in dramatizations of Charles Dickens’s A Christmas Carol."
1935,"Special Award-To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
1936,"Best Picture: Mutiny On The Bounty"
1936,"Hal Mohr became the first, and only, write-in Oscar winner with his win for Best Cinematography for A Midsummer Night’s Dream. This was the last year that write-in votes were allowed for any category."
1936,"On January 8, 1935, Elvis Aaron Presley was born."
1936,"In January 1935, Amelia Earhart became the first person to fly solo from Hawaii to California."
1936,"In March 1935, Persia was renamed Iran."
1936,"On April 16, 1935, Fibber McGee & Molly debuted on NBC."
1936,"On May 30, 1935, eventual Baseball Hall of Famer Babe Ruth appeared in his last career game, playing for the Boston Braves against the Phillies."
1936,"In July 1935, Porky Pig made his debut in the Looney Tunes cartoon I Haven’t Got a Hat."
1936,"On December 13, 1935, the British-made Scrooge, the first all-talking film version of the Charles Dickens classic, opened in New York City."
1936,"Special Award-To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
1937,"Best Picture: The Great Ziegfeld"
1937,"The Great Ziegfeld also won Academy Awards for Best Actress (Luise Rainer) and Dance Direction (Seymour Felix)"
1937,"The Academy began to honor performances by actors and actresses in supporting roles."
1937,"Walter Brennan (Come and Get It) and Gale Sondergaard (Anthony Adverse) were the first winners."
1937,"Walt Disney won a fifth straight Academy Award for producing the best cartoon of the year."
1937,"On January 31, 1936, The Green Hornet radio show debuted."
1937,"In May 1936, Margaret Mitchell’s only novel, Gone with the Wind, was published."
1937,"On August 1, 1936, the 1936 Summer Olympics opened in Berlin, Germany, and marked the first television coverage of the games. African-American track-and-field athlete Jesse Owens won four gold medals, while around him Nazi propaganda touted Aryan racial superiority."
1937,"On November 23, 1936, the first edition of Life magazine was published."
1937,"In December 1936, Prince Albert, Duke of York, became King of England, reigning as King George VI."
1937,"Special Award-To The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel."
1937,"Special Award-To W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production, The Garden of Allah."
1938,"Best Picture: The Life of Emile Zola"
1938,"The Life of Emile Zola also won Academy Awards for Best Supporting Actor (Joseph Schildkraut) and Writing – Screenplay (Norman Reilly Raine, Heinz Herald, Geza Herczeg)"
1938,"The Awards ceremony was delayed for one week due to major rains and flooding in Los Angeles."
1938,"Luise Rainer became the first performer to win a second Oscar."
1938,"The award for dance direction was given for the last time, to Hermes Pan for the Fun House number from Damsel in Distress."
1938,"In March 1937, the first issue of the comic book Detective Comics was published. In March 1939, Detective Comics introduced Batman in issue No. 27."
1938,"In April 1937, the animated short Porky’s Duck Hunt, directed by Tex Avery for the Looney Tunes series and featuring the debut of Daffy Duck, was released."
1938,"On May 6, 1937, the German airship Hindenburg burst into flames while attempting to land in Lakehurst, New Jersey."
1938,"In July 1937, Amelia Earhart and navigator Fred Noonan disappeared after taking off from New Guinea during Earhart’s attempt to become the first woman to fly around the world."
1938,"On July 11, 1937, George Gershwin died in Los Angeles of a brain tumor at age 38."
1938,"In September 1937, J.R.R. Tolkien’s The Hobbit was published in London."
1938,"Special Award-To Mack Sennett, for his lasting contribution to the comedy technique of the screen, the basic principles of which are as important today as when they were first put into practice, the Academy presents a Special Award to that master of fun, discoverer of stars, sympathetic, kindly, understanding comedy genius - Mack Sennett."
1938,"Special Award-To Edgar Bergen for his outstanding comedy creation, Charlie McCarthy."
1938,"Special Award-To The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts."
1938,"Special Award-To W. Howard Greene for the color photography of A Star Is Born. (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.)"
1938,"Irving G. Thalberg Memorial Award-To Darryl F. Zanuck."
1939,"Best Picture: You Can’t Take It With You"
1939,"You Can’t Take It With You also won for Directing (Frank Capra)"
1939,"Mickey Rooney (18 years old) and Deanna Durbin (17 years old) were awarded miniature statuettes as Juvenile players setting a high standard of ability and achievement. (View Images)"
1939,"In January 1938, President Roosevelt established the National Foundation for Infantile Paralysis, which became the March of Dimes."
1939,"In June 1938, Action Comics No. 1 was published, marking the debut of the comic book character Superman."
1939,"In June 1938, President Roosevelt signed the Fair Labor Standards Act of 1938, which established a minimum hourly wage of 25 cents."
1939,"On October 30, 1938, Orson Welles’s radio adaptation of The War of the Worlds was broadcast, causing panic in various parts of the United States."
1939,"On November 1, 1938, Seabiscuit defeated War Admiral by four lengths in their famous match at Pimlico Race Course in Baltimore, Maryland."
1939,"On November 10, 1938, Kate Smith sang Irving Berlin’s God Bless America for the first time on her weekly radio show."
1939,"Special Award-To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement."
1939,"Special Award-To Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty."
1939,"Special Award-To J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography."
1939,"Special Award-To Walt Disney for Snow White and the Seven Dwarfs, recognized as a significant screen innovation which has charmed millions and pioneered a great new entertainment field for the motion picture cartoon."
1939,"Special Award-For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production, Spawn of the North. Special Effects by Gordon Jennings, assisted by Jan Domela, Dev Jennings, Irmin Roberts and Art Smith. Transparencies by Farciot Edouart, assisted by Loyal Griggs. Sound Effects by Loren Ryder, assisted by Harry Mills, Louis H. Mesenkop and Walter Oberst."
1939,"Special Award-To Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production, Sweethearts."
1940,"Best Picture: Gone with the Wind"
1940,"Gone with the Wind won eight Academy Awards: Best Picture, Actress (Vivien Leigh), Supporting Actress (Hattie McDaniel), Art Direction (Lyle R. Wheeler), Color Cinematography (Ernest Haller, Ray Rennahan), Directing (Victor Fleming), Film Editing (Hal C. Kern, James E. Newcom) and Writing – Screenplay (Sidney Howard). It received five other nominations."
1940,"Gone with the Wind was the first color movie to win an Academy Award for Best Picture."
1940,"Sidney Howard was the first posthumous winner in a competitive category (for the screenplay of Gone with the Wind)."
1940,"Bob Hope was the master of ceremonies for the first time."
1940,"This was the last year that the names of winners were given to the press in advance of the awards presentation."
1940,"In April 1939, John Steinbeck’s The Grapes of Wrath was published."
1940,"On May 2, 1939, Major League Baseball’s Lou Gehrig, the legendary Yankee first baseman known as The Iron Horse, ended his 2,130 consecutive games played streak after a diagnosis of amyotrophic lateral sclerosis (ALS)."
1940,"On August 15, 1939, MGM’s classic musical film The Wizard of Oz, starring Judy Garland as Dorothy, had its Hollywood premiere at Grauman’s Chinese Theatre."
1940,"On September 1, 1939, Germany invaded Poland, marking the beginning of World War II."
1940,"In February 1939, the DuPont Company revealed its latest invention, nylon stockings, at the San Francisco’s World Fair."
1940,"On November 16, 1939, Al Capone was released from Alcatraz."
1940,"Special Award-To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."
1940,"Special Award-To The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership. Presented to Jean Hersholt, President; Ralph Morgan, Chairman of the Executive Committee; Ralph Block, First Vice-President; and Conrad Nagel."
1940,"Special Award-To Judy Garland for her outstanding performance as a screen juvenile during the past year."
1940,"Special Award-To William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind."
1940,"Irving G. Thalberg Memorial Award-To David O. Selznick."
1941,"Best Picture: Rebecca"
1941,"Rebecca also won the Academy Award for Black-and-White Cinematography (George Barnes)."
1941,"President Franklin D. Roosevelt gave a six-minute, direct-line radio address from the White House, paying tribute to the work being done by Hollywood's citizenry. This was the first time an American president had participated in an Academy Awards evening."
1941,"For the first time, the names of all the winners were kept secret until they were announced during the ceremony."
1941,"Walter Brennan became the first performer to win three Academy Awards for acting (for his supporting performances in Come and Get It in 1936, Kentucky in 1938, and The Westerner in 1940)."
1941,"Bob Hope was the master of ceremonies."
1941,"In February 1940, RKO released Walt Disney's Pinocchio. It won Academy Awards for Song and Original Score."
1941,"In April 1940, Booker T. Washington became the first African-American to be depicted on a United States postage stamp."
1941,"In May 1940, the McDonald brothers opened their first restaurant, McDonald's Bar-B-Que, in San Bernardino, California. (The restaurant chain bearing the McDonald's name and featuring the familiar Golden Arches did not appear until 1955, when franchise owner Ray Kroc opened his first restaurant.)"
1941,"In September 1940, Nazi Germany began its campaign of sustained bombing of London, now remembered as the Blitz."
1941,"In November 1940, President Franklin D. Roosevelt defeated Wendell Willkie in the presidential election and became the United States' first and only third-term president."
1941,"In December 1940, the Chicago Bears defeated the Washington Redskins 73-0 in the NFL Championship Game – the most lopsided victory in NFL history."
1941,"Special Award-To Bob Hope, in recognition of his unselfish services to the Motion Picture Industry."
1941,"Special Award-To Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years, which has made possible the present efficient mobilization of the motion picture industry facilities for the production of Army Training Films."
1942,"Best Picture: How Green Was My Valley"
1942,"How Green Was My Valley also won Academy Awards for Best Supporting Actor (Donald Crisp), Black-and-White Art Direction – Interior Decoration (Richard Day, Nathan Juran, and Thomas Little), Black-and-White Cinematography (Arthur C. Miller), and Directing (John Ford)."
1942,"Bob Hope was the master of ceremonies."
1942,"Orson Welles produced Best Picture nominee Citizen Kane, for which he received lead actor, directing and writing nominations. He and Herman J. Mankiewicz won for their original screenplay."
1942,"For the first time, the Academy recognized documentary film production."
1942,"For the first time, two real-life sisters were nominated in the Best Actress category. Joan Fontaine (Suspicion) won over sibling Olivia de Havilland (Hold Back the Dawn)."
1942,"On January 16, 1942, popular actress Carole Lombard was killed in an airplane crash while returning from a war bond-selling tour."
1942,"In March 1941, President Roosevelt opened the National Gallery of Art in Washington, D.C."
1942,"In April 1941, Bertolt Brecht's anti-war play Mother Courage and Her Children was staged for the first time at the Schauspielhaus Zürich."
1942,"In May 1941, General Mills introduced the breakfast cereal CheeriOats, which later became known as Cheerios."
1942,"On July 17, 1941, Joe DiMaggio's 56-game hitting streak ended."
1942,"In October 1941, Walt Disney's Dumbo was released. The song Baby Mine was nominated, and the film won the award for Music – Scoring of a Musical Picture."
1942,"On December 7, 1941, Japan bombed Pearl Harbor, drawing the U.S. into World War II."
1942,"In consideration of these two tragic events, Academy officials initially decided to cancel the awards ceremony. Then Bette Davis, the new Academy president, suggested the event be held in a large auditorium with the public invited to buy tickets, with the proceeds going to the Red Cross. That plan was rejected and ultimately, the Academy Governors decided to go ahead with the ceremony, but under modified conditions: formal attire was banned, the ceremony was labeled a dinner rather than a banquet and there were no searchlights outside the hotel."
1942,"Special Award-To Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company for their outstanding contribution to the advancement of the use of sound in motion pictures through the production of Fantasia."
1942,"Special Award-To Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, Fantasia, thereby widening the scope of the motion picture as entertainment and as an art form."
1942,"Special Award-To Rey Scott for his extraordinary achievement in producing Kukan, the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions."
1942,"Special Award-To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, Target for Tonight."
1942,"Irving G. Thalberg Memorial Award-To Walt Disney"
1943,"Best Picture: Mrs. Miniver"
1943,"Mrs. Miniver also won Academy Awards for Best Actress (Greer Garson), Best Supporting Actress (Teresa Wright), Black-and-White Cinematography (Joseph Ruttenberg), Directing (William Wyler), and Writing – Screenplay (Arthur Wimperis, George Froeschel, James Hilton, and Claudine West)."
1943,"Bob Hope was the master of ceremonies again, and Jeanette MacDonald sang the National Anthem."
1943,"There were four winners in the Best Documentary category. In subsequent years, the category was divided into short subjects and features."
1943,"Irving Berlin presented the award for Music – Song – to himself. He was the presenter as well as a nominee (for the fifth time in the category); he won for White Christmas (from Holiday Inn)."
1943,"This was the last year that the ceremony was held at a banquet. Academy officials felt it was insensitive to host elegant dinner parties while the country was at war, so the following year, the Academy Awards moved to a theater."
1943,"In May 1942, Aaron Copland's Lincoln Portrait was performed for the first time by the Cincinnati Symphony Orchestra."
1943,"In June 1942, Anne Frank began making entries in the diary she received for her 13th birthday."
1943,"On June 18, 1942, journalist-film critic Roger Ebert was born."
1943,"In August 1942, Walt Disney's Bambi was released. It earned three Oscar nominations."
1943,"Special Award-To Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry."
1943,"Special Award-To Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the Andy Hardy series of films."
1943,"Special Award-To Noel Coward for his outstanding production achievement in In Which We Serve."
1943,"Irving G. Thalberg Memorial Award-To Sidney Franklin"
1944,"Best Picture: Casablanca"
1944,"Casablanca also won Academy Awards for Directing (Michael Curtiz) and Writing – Screenplay (Julius J. Epstein, Philip G. Epstein, and Howard Koch)."
1944,"For the first time, winners of the Best Supporting Actor and Actress awards were presented with full-size statuettes instead of plaques."
1944,"Jack Benny was the master of ceremonies for a radio broadcast of the ceremony sent to the Armed Forces fighting overseas."
1944,"Among the presenters that evening were Academy President Walter Wanger, producer Sidney Franklin, writer James Hilton, radio star Dinah Shore, and actresses Greer Garson, Teresa Wright, Rosalind Russell, and Carole Landis."
1944,"In January 1943, construction of the Pentagon was completed only 16 months after it began."
1944,"In January 1943, Duke Ellington played at Carnegie Hall in New York City for the first time."
1944,"On March 31, 1943, the Rodgers and Hammerstein musical Oklahoma! premiered on stage at the St. James Theatre in New York City."
1944,"In May 1943, Norman Rockwell’s illustration of Rosie the Riveter made its first appearance on the cover of The Saturday Evening Post."
1944,"In June 1943, the Zoot Suit Riots erupted in Los Angeles."
1944,"In December 1943, Edward R. Murrow delivered his Orchestrated Hell broadcast over CBS radio, describing a Royal Air Force nighttime bombing raid on Berlin."
1944,"Special Award-To George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons."
1944,"Irving G. Thalberg Memorial Award-To Hal B. Wallis"
1945,"Best Picture: Going My Way"
1945,"Going My Way also won Academy Awards for Best Actor (Bing Crosby), Best Supporting Actor (Barry Fitzgerald), Directing (Leo McCarey), Music – Song (Swinging on a Star, music by James Van Heusen, lyrics by Johnny Burke), Writing – Original Story (Leo McCarey), and Writing – Screenplay (Frank Butler and Frank Cavett)."
1945,"Bob Hope and director John Cromwell were the masters of ceremonies."
1945,"On June 6, 1944, the Allied troops landed on the beaches of Normandy in France (D-Day)."
1945,"In July 1944, one of the worst fire disasters in U.S. history occurred in Hartford, Connecticut, during a performance of the Ringling Brothers and Barnum & Bailey Circus."
1945,"In August 1944, Anne Frank and her family were discovered by the Gestapo."
1945,"In October 1944, The Adventures of Ozzie and Harriet radio show debuted in the U.S."
1945,"On November 7, 1944, President Roosevelt defeated challenger Thomas E. Dewey in the U.S. presidential election, becoming the only U.S. president elected to a fourth term."
1945,"On December 14, 1944, the movie National Velvet premiered in New York City and brought Elizabeth Taylor to stardom. In 1945, following its national release, the movie was nominated for five Academy Awards and won for Best Supporting Actress and Film Editing."
1945,"Special Award-To Margaret O'Brien, outstanding child actress of 1944."
1945,"Special Award-To Bob Hope for his many services to the Academy."
1945,"Irving G. Thalberg Memorial Award-To Darryl F. Zanuck"
1946,"Best Picture: The Lost Weekend"
1946,"The Lost Weekend also won Academy Awards for Best Actor (Ray Milland), Directing (Billy Wilder), and Writing – Screenplay (Charles Brackett and Billy Wilder)."
1946,"Joan Crawford was the biggest newsmaker of the evening when she won the award for Best Actress (Mildred Pierce). Due to illness, she was confined to her bed so the award was accepted on her behalf by her director, Michael Curtiz."
1946,"Bob Hope and James Stewart were co-hosts of the ceremony."
1946,"In January 1945, the major evacuation of Auschwitz began."
1946,"On February 19, 1945, the Battle of Iwo Jima began when approximately 30,000 U.S. Marines landed on Iwo Jima."
1946,"In March 1945, Anne Frank died of typhus in the Bergen-Belsen concentration camp."
1946,"Sylvester the Cat made his debut in Life with Feathers, which received an Academy Award nomination for Cartoon Short Subject."
1946,"On April 12, 1945, President Roosevelt died in Warm Springs, Georgia, and Vice President Harry S. Truman became the 33rd president of the United States."
1946,"On April 19, 1945, the Rodgers and Hammerstein musical Carousel opened on Broadway."
1946,"On April 28, 1945, Benito Mussolini and his mistress, Clara Petacci, were executed by Italian partisans."
1946,"On April 30, 1945, Adolf Hitler and Eva Braun committed suicide."
1946,"On August 6, 1945, the U.S. dropped an atomic bomb, nicknamed Little Boy, on Hiroshima, Japan. Three days later, the U.S. dropped Fat Man on Nagasaki, Japan."
1946,"On October 24, 1945, the charter establishing the United Nations was ratified."
1946,"In November 1945, the Nuremberg Trials began."
1946,"Special Award-To Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences."
1946,"Special Award-To Peggy Ann Garner, outstanding child actress of 1945."
1946,"Special Award-To Republic Studio, Daniel J. Bloomberg and the Republic Studio Sound Department for the building of an outstanding musical scoring auditorium which provides optimum recording conditions and combines all elements of acoustic and engineering design."
1946,"Special Award-To The House I Live In, tolerance short subject; produced by Frank Ross and Mervyn LeRoy; directed by Mervyn LeRoy; screenplay by Albert Maltz; song The House I Live In, music by Earl Robinson, lyrics by Lewis Allan; starring Frank Sinatra; released by RKO Radio."
1947,"Best Picture: The Best Years of our Lives"
1947,"The Best Years of our Lives also won Academy Awards for Best Actor (Fredric March), Best Supporting Actor (Harold Russell), Directing (William Wyler), Film Editing (Daniel Mandell), Music – Score of a Dramatic or Comedy Picture (Hugo Friedhofer), and Writing – Screenplay (Robert E. Sherwood)."
1947,"Jack Benny hosted the ceremony."
1947,"For the first time, the general public was allowed to buy tickets."
1947,"For the first time, films from overseas were almost as prominent as American films."
1947,"In January 1946, Charles de Gaulle resigned as president of France’s provisional government."
1947,"In February 1946, Juan Perón was elected president of Argentina."
1947,"In May 1946, six prisoners unsuccessfully tried to escape from Alcatraz Island Federal Prison and caused a riot, known as the Battle of Alcatraz."
1947,"In June 1946, the Basketball Association of America was founded; the league adopted the name National Basketball Association (NBA) in 1949."
1947,"In July 1946, French designer Louis Réard introduced the bikini, which he named after the June 1946 atomic bomb test at Bikini Atoll."
1947,"In August 1946, Santa Claus Land, later renamed Holiday World, opened near Evansville, Indiana. It became the first theme park, preceding Disneyland by nine years."
1947,"In December 1946, the United Nations General Assembly voted to establish UNICEF."
1947,"On December 31, 1946, President Truman signed Proclamation 2714, which officially ended all hostilities in World War II."
1947,"Special Award-To Ernst Lubitsch for his distinguished contributions to the art of the motion picture."
1947,"Special Award-To Claude Jarman, Jr., outstanding child actor of 1946."
1947,"Special Award-To Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives."
1947,"Special Award-To Laurence Olivier for his outstanding achievement as actor, producer and director in bringing Henry V to the screen."
1947,"Irving G. Thalberg Memorial Award-To Samuel Goldwyna"
1948,"Best Picture: Gentlemen's Agreement"
1948,"Gentlemen's Agreement also won Academy Awards for Best Supporting Actress (Celeste Holm) and Directing (Elia Kazan)."
1948,"In January 1947, aspiring actress Elizabeth Short was found gruesomely murdered in a vacant lot in Los Angeles. She posthumously became known as The Black Dahlia."
1948,"In February 1947, Christian Dior introduced the New Look at his first couture show in Paris."
1948,"In April 1947, Jackie Robinson played his first game with the Brooklyn Dodgers and broke the color barrier in Major League Baseball."
1948,"In May 1947, the Christmas-themed Miracle on 34th Street was released in theaters. It was nominated for four Academy Awards and won three."
1948,"On May 22, 1947, David Lean's film Great Expectations, based on the novel by Charles Dickens, opened in New York."
1948,"In November 1947, the television show Meet the Press made its debut on NBC."
1948,"On November 20, 1947, Princess Elizabeth and the Duke of Edinburgh were married at Westminster Abbey."
